product_id,warehouse,stock_on_hand,stock_received,stock_sold,last_restock_date
2001,DEL-WH1,150,300,150,2025-06-20
2002,MUM-WH1,200,250,50,2025-06-15
2003,BEN-WH1,120,200,80,2025-06-10
2004,HYD-WH1,20,100,80,2025-06-05
2005,AMD-WH1,80,200,120,2025-05-28
2006,PUN-WH1,90,150,60,2025-06-18
2007,JAIP-WH1,10,20,10,2025-05-01
2008,CHE-WH1,60,120,60,2025-06-25
2009,KOL-WH1,15,60,45,2025-06-02
2010,DEL-WH1,300,400,100,2025-06-30
2011,MUM-WH1,500,800,300,2025-05-05
2012,BEN-WH1,250,400,150,2025-06-12
2013,DEL-WH1,40,100,60,2025-06-01
2014,KCH-WH1,35,70,35,2025-05-20
2015,MUM-WH1,220,300,80,2025-05-15
2016,HYD-WH1,30,80,50,2025-06-16
2017,AMD-WH1,450,500,50,2025-04-20
2018,PUN-WH1,70,150,80,2025-06-26
2019,KOL-WH1,25,60,35,2025-05-28
2020,BEN-WH1,45,100,55,2025-06-10
2021,DEL-WH1,60,90,30,2025-06-15
2022,MUM-WH1,110,200,90,2025-06-08
2023,HYD-WH1,20,50,30,2025-05-25
2024,AMD-WH1,180,250,70,2025-06-30
2025,DEL-WH1,5,10,5,2025-04-01
2026,PUN-WH1,140,200,60,2025-06-21
2027,BEN-WH1,600,700,100,2025-05-10
2028,MUM-WH1,120,200,80,2025-06-18
2029,DEL-WH1,12,30,18,2025-05-06
2030,KOL-WH1,20,25,5,2025-06-02
